Fecha de Toma de Muestra,Hora de Toma de Muestra,Fecha de Entrega al Laboratorio,Codigo de la Muestra,NSPM,Codigo del Laboratorio,Tipo de Muestra,Clasificacion de la Muestra,Color Aparente,Turbiedad,pH,Cloro Residual Libre,Dureza Total,Hierro Total,Cloruros,Alcalinidad,Sulfatos,Nitratos,Coliformes Totales,Tecnica Empleada para la Determinacion de los Coliformes Totales,Escherichia Coli,Tecnica Empleada para la Determinacion de la Escherichia Coli,Resultados del IRCA por Muestra
1/1/2019,6:38:00,1/1/2019,0001-1,2,1.00,2.00,2.00,8.70,1.18,7.10,1.48,49.51,1.28,12.72,42.93,12.44,5.17,0.00,1.00,0.00,0.00,24.10
1/2/2019,6:48:00,1/2/2019,0001-2,15,2.00,2.00,2.00,3.20,0.60,7.14,1.18,55.48,2.91,12.61,43.60,9.56,6.76,0.00,1.00,0.00,0.00,21.59
1/3/2019,7:51:00,1/3/2019,0001-3,20,3.00,2.00,2.00,3.40,0.55,7.21,1.77,52.93,-0.67,12.46,41.25,12.05,4.42,1.00,1.00,0.00,0.00,19.35
1/4/2019,0:46:00,1/4/2019,0004-1,4,4.00,2.00,2.00,8.40,0.91,7.10,1.42,54.70,1.62,12.69,40.55,9.80,8.24,0.00,1.00,0.00,0.00,20.89
1/5/2019,13:54:00,1/5/2019,0004-2,7,5.00,2.00,2.00,24.00,3.03,7.17,1.52,52.50,2.68,13.06,40.24,12.40,6.54,0.00,1.00,0.00,0.00,27.10
1/6/2019,12:57:00,1/6/2019,0004-3,17,6.00,2.00,2.00,3.50,0.42,7.40,1.17,49.89,-2.40,9.26,41.00,12.76,3.02,0.00,1.00,0.00,0.00,21.25
1/7/2019,8:28:00,1/7/2019,0007-1,3,7.00,2.00,2.00,14.40,1.60,7.32,1.43,52.79,-0.47,12.98,45.39,11.06,8.26,0.00,1.00,0.00,0.00,22.85
1/8/2019,8:32:00,1/8/2019,0007-2,8,8.00,2.00,2.00,15.00,1.90,7.19,1.40,53.62,0.50,9.28,41.24,10.22,5.66,0.00,1.00,0.00,0.00,25.12
1/9/2019,15:19:00,1/9/2019,0007-3,13,9.00,2.00,2.00,14.80,1.23,7.34,1.48,51.67,0.26,14.18,43.14,12.91,5.56,0.00,1.00,0.00,0.00,24.34
1/10/2019,3:05:00,1/10/2019,0011-1,12,10.00,2.00,2.00,11.70,1.20,7.32,1.39,50.37,0.81,12.04,43.89,10.05,3.52,0.00,1.00,0.00,0.00,20.92
1/11/2019,5:32:00,1/11/2019,0011-2,16,11.00,2.00,2.00,11.80,1.06,7.34,1.15,53.43,-1.16,9.72,42.90,9.43,5.47,0.00,1.00,0.00,0.00,23.58
1/12/2019,17:49:00,1/12/2019,0011-3,15,12.00,2.00,2.00,3.20,0.38,7.32,0.84,53.00,0.03,14.00,45.00,5.00,1.70,0.00,1.00,0.00,0.00,23.37
1/13/2019,7:12:00,1/13/2019,0015-1,5,13.00,2.00,2.00,5.90,0.97,6.93,1.32,52.57,2.96,13.35,44.29,12.98,5.57,0.00,1.00,0.00,0.00,24.26
1/14/2019,15:29:00,1/14/2019,0015-2,18,14.00,2.00,2.00,7.70,0.88,7.02,1.23,52.65,1.00,9.61,43.35,10.70,4.79,0.00,1.00,0.00,0.00,24.92
